First Name [Required],Last Name [Required],Email Address [Required],Password [Required],Password Hash Function [UPLOAD ONLY],Org Unit Path [Required],New Primary Email [UPLOAD ONLY],Recovery Email,Home Secondary Email,Work Secondary Email,Recovery Phone [MUST BE IN THE E.164 FORMAT],Work Phone,Home Phone,Mobile Phone,Work Address,Home Address,Employee ID,Employee Type,Employee Title,Manager Email,Department,Cost Center,Building ID,Floor Name,Floor Section,Change Password at Next Sign-In,New Status [UPLOAD ONLY],Advanced Protection Program enrollment
Tara,Kelly,tara.kelly856@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Shannon,Smith,shannon.smith61@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Sonya,Hayden,sonya.hayden137@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Robert,Graham,robert.graham307@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Kathleen,Schwartz,kathleen.schwartz58@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Bruce,Henry,bruce.henry752@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Lindsay,Miller,lindsay.miller250@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Mary,Graves,mary.graves862@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Tom,Lopez,tom.lopez399@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Patricia,Gregory,patricia.gregory907@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Erika,Lewis,erika.lewis643@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Kimberly,Smith,kimberly.smith940@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Kevin,Wilson,kevin.wilson535@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
James,Delacruz,james.delacruz547@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Lindsey,Lee,lindsey.lee441@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Sara,Klein,sara.klein314@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Kurt,Jones,kurt.jones779@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Philip,Diaz,philip.diaz291@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Holly,Shaw,holly.shaw756@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Deborah,Newton,deborah.newton765@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Dustin,Robinson,dustin.robinson923@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Eric,Mills,eric.mills697@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Deborah,Green,deborah.green459@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Jack,Wheeler,jack.wheeler707@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Corey,Moyer,corey.moyer969@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Nicole,Jenkins,nicole.jenkins799@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Maria,Chen,maria.chen633@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Dennis,Romero,dennis.romero513@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Scott,Miller,scott.miller763@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Kenneth,Smith,kenneth.smith831@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Debbie,Smith,debbie.smith782@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Meghan,Yang,meghan.yang571@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Bonnie,Watson,bonnie.watson585@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Michael,Davis,michael.davis296@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Duane,Fisher,duane.fisher458@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Michelle,Young,michelle.young117@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Susan,Stevens,susan.stevens554@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Stephanie,Thornton,stephanie.thornton679@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Holly,Davis,holly.davis163@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Sara,Neal,sara.neal268@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Sandra,Pierce,sandra.pierce8@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Kristy,Vargas,kristy.vargas634@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Carly,Nichols,carly.nichols365@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Jeffrey,Medina,jeffrey.medina456@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Eric,Valentine,eric.valentine779@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Stephen,Wheeler,stephen.wheeler989@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Alex,Lewis,alex.lewis722@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Craig,Stewart,craig.stewart587@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Kathryn,King,kathryn.king977@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Billy,Quinn,billy.quinn569@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Sue,Rodriguez,sue.rodriguez595@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Megan,Torres,megan.torres942@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Rita,Miller,rita.miller61@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Scott,Smith,scott.smith526@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Paul,Raymond,paul.raymond81@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Faith,Williams,faith.williams640@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Jennifer,Christian,jennifer.christian55@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Mark,Patterson,mark.patterson161@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Gina,Martinez,gina.martinez957@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Erika,Jones,erika.jones480@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Robert,Freeman,robert.freeman580@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Gregory,Caldwell,gregory.caldwell219@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Bradley,Hodge,bradley.hodge239@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Andrea,James,andrea.james40@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Elizabeth,Carey,elizabeth.carey330@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Alexander,Allen,alexander.allen504@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Sheila,Shepherd,sheila.shepherd955@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Jamie,Drake,jamie.drake203@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Kelly,Walker,kelly.walker990@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Kelly,Hart,kelly.hart366@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Rachel,Diaz,rachel.diaz566@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Thomas,Stark,thomas.stark178@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Mary,Patterson,mary.patterson221@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Suzanne,Morris,suzanne.morris252@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Matthew,Allen,matthew.allen622@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Gary,Mendez,gary.mendez921@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Teresa,Young,teresa.young612@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Paul,Pittman,paul.pittman949@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Sandra,Brown,sandra.brown982@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
John,Johnson,john.johnson223@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Sarah,Herring,sarah.herring48@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Cindy,Dixon,cindy.dixon501@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Jessica,Reynolds,jessica.reynolds251@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
John,Johnson,john.johnson475@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Andrea,Edwards,andrea.edwards121@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Jennifer,Jimenez,jennifer.jimenez464@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Angel,Washington,angel.washington34@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Anna,Schroeder,anna.schroeder673@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Anna,Burke,anna.burke761@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Ricardo,Jackson,ricardo.jackson561@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Mario,Brown,mario.brown668@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
John,Dickson,john.dickson134@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Nicole,Schmitt,nicole.schmitt547@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Stephen,Hodges,stephen.hodges392@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Julian,Green,julian.green585@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Diana,Kane,diana.kane632@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Lance,Farrell,lance.farrell271@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Jacob,Delgado,jacob.delgado843@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Beverly,Smith,beverly.smith921@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Lori,Moore,lori.moore467@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Louis,Mills,louis.mills635@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Linda,Fischer,linda.fischer909@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Sean,Singh,sean.singh920@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Ruth,Joseph,ruth.joseph724@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Emma,Wade,emma.wade165@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Kim,Morales,kim.morales739@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Robert,Whitaker,robert.whitaker849@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Shane,Porter,shane.porter910@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Christopher,Green,christopher.green264@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Brian,Davis,brian.davis639@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Michelle,Allen,michelle.allen345@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Matthew,Tucker,matthew.tucker534@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Nicole,Smith,nicole.smith599@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Christopher,Wilkins,christopher.wilkins634@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Samuel,Lopez,samuel.lopez97@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Tom,Cox,tom.cox146@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
April,Wilson,april.wilson250@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Linda,Baker,linda.baker817@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Kathleen,Thomas,kathleen.thomas467@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Michele,Fuller,michele.fuller145@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
David,Hopkins,david.hopkins693@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Timothy,Garrison,timothy.garrison890@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Jessica,Sanchez,jessica.sanchez605@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
David,Griffin,david.griffin771@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Katie,Donovan,katie.donovan361@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Emily,Hernandez,emily.hernandez843@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Kevin,Blackburn,kevin.blackburn912@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Frederick,Bright,frederick.bright18@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Kyle,Wilson,kyle.wilson592@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
James,Hernandez,james.hernandez769@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Martha,Logan,martha.logan370@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Gina,Leach,gina.leach836@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Mary,Mendoza,mary.mendoza764@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Dawn,Allen,dawn.allen157@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Mason,Martinez,mason.martinez603@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Jacqueline,Hayes,jacqueline.hayes355@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Melissa,Johnson,melissa.johnson791@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Jeremy,Lindsey,jeremy.lindsey536@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Kyle,Olson,kyle.olson635@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Brenda,Johnson,brenda.johnson699@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
David,Johnson,david.johnson917@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Nicholas,Whitehead,nicholas.whitehead798@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Mark,Hernandez,mark.hernandez815@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Connie,Reed,connie.reed870@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
James,Gutierrez,james.gutierrez817@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Edwin,Phelps,edwin.phelps413@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Alexis,Rodriguez,alexis.rodriguez69@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Daniel,Salazar,daniel.salazar343@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Jacob,Miranda,jacob.miranda382@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Aaron,Mason,aaron.mason68@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Marissa,Pennington,marissa.pennington514@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
James,Mullen,james.mullen880@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Megan,Turner,megan.turner105@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Patrick,Daugherty,patrick.daugherty447@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Tara,Rodriguez,tara.rodriguez287@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Holly,Combs,holly.combs288@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Nathaniel,Morris,nathaniel.morris748@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Joshua,Green,joshua.green240@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Elizabeth,Mooney,elizabeth.mooney864@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
